Store Type,City,Gender,Age,Age Group,Q1 Expenditure,Q2 Expenditure,Q3 Expenditure,Q4 Expenditure,Discount Used
Merchandise,Bangalore,Female,32,Adult,13981.82,10850.47,21365.96,1785.94,Yes
Merchandise,Pune,Female,56,Senior,10435.54,2369.99,4455.14,6582.29,Yes
Grocery,Bangalore,Female,49,Middle Age,13580.76,7260.36,1622.63,16858.09,Yes
Merchandise,Hyderabad,Male,57,Senior,,6956.33,5695.07,,No
Grocery,Kolkata,Male,36,Middle Age,3281.68,10041.67,12732.63,11257.76,No
Grocery,Bangalore,Male,46,Middle Age,4034.43,3578.7,7230.61,10518.68,No
Grocery,Indore,Male,42,Middle Age,1184.91,4991.53,18207.23,9730.53,Yes
Grocery,Chennai,Male,47,Middle Age,18863.28,1440.27,10424.63,4413.32,Yes
Merchandise,Jaipur,Male,58,Senior,4248.82,9899.11,2757.54,3545.1,Yes
Grocery,Chennai,Male,28,Adult,13900.64,9754.23,,17057.1,Yes
Merchandise,Jaipur,Male,43,Middle Age,15566.1,14696.88,21804.45,1234.83,Yes
Grocery,Lucknow,Male,44,,14314.0,,18994.18,-9518.32,No
Grocery,Kolkata,Male,46,Middle Age,11128.31,17265.89,1767.97,621.35,Yes
Grocery,,Male,63,Senior,18286.58,14214.51,21294.44,7876.41,No
Grocery,Kolkata,Female,25,Young Adult,18843.44,5360.86,15591.9,5713.32,No
Merchandise,Kolkata,Female,16,Teen,13023.45,17002.63,14870.32,14761.64,No
Grocery,Bangalore,Male,22,Young Adult,-9305.36,23287.99,,-3075.92,No
Grocery,Kolkata,Female,20,Young Adult,12965.7,20542.65,6834.02,13778.79,Yes
Grocery,Delhi,Female,24,Young Adult,11407.3,19449.4,19013.77,8331.54,No
Merchandise,Kolkata,Male,63,Senior,9544.01,23970.65,16284.42,9708.62,No
Merchandise,Delhi,Male,21,Young Adult,4423.55,13626.46,15325.07,7949.86,No
Merchandise,Mumbai,Female,52,Senior,8040.12,12582.24,6739.45,11761.15,Yes
Merchandise,Delhi,Female,24,Young Adult,10160.62,18926.84,10223.29,8008.52,No
Grocery,Chennai,Male,45,Middle Age,17017.91,1379.67,21522.66,9109.98,Yes
Grocery,Bangalore,Male,47,Middle Age,13208.99,18122.75,12396.09,10870.23,Yes
Grocery,Chennai,Male,57,Senior,17241.03,23005.67,10696.33,17471.18,Yes
Merchandise,Lucknow,Male,55,Senior,2858.96,16209.06,13189.0,12803.67,No
Merchandise,Hyderabad,Male,52,Senior,2066.61,6269.04,1347.03,14326.88,No
Merchandise,Hyderabad,Male,32,Adult,19775.19,17643.62,17146.86,,Yes
Grocery,Chennai,Male,40,Middle Age,12804.56,,5317.4,14889.14,Yes
Grocery,Pune,Female,-1,Teen,7000.87,14174.83,5156.71,15293.76,Yes
Grocery,Jaipur,Male,53,Senior,15952.79,13681.09,12356.56,11403.96,Yes
Merchandise,Indore,Male,23,Young Adult,1014.74,,-15766.29,6146.38,No
Grocery,Chennai,Female,60,Senior,17860.11,15479.38,6459.88,14167.75,No
Grocery,Pune,Female,56,Senior,17213.52,15722.26,15489.22,5326.91,Yes
Grocery,Bangalore,Male,53,Senior,10993.11,18067.32,16145.8,17689.65,Yes
Grocery,Hyderabad,Male,40,Middle Age,17015.3,5131.75,502.09,11548.87,Yes
Grocery,Mumbai,Female,64,Senior,17484.15,11917.69,15007.69,13002.4,No
Grocery,Chennai,Female,34,Adult,1798.07,23058.76,14375.87,5306.4,Yes
Grocery,Pune,Female,57,Senior,,6717.33,18542.67,5753.8,Yes
Grocery,Jaipur,Female,17,Teen,13468.63,-10227.11,1685.67,866.91,Yes
Grocery,Indore,Male,50,,14537.86,6948.56,6431.98,5446.69,Yes
Merchandise,Chennai,Female,23,Young Adult,4799.15,12974.44,18736.31,3719.14,Yes
Grocery,Pune,Female,64,Senior,6365.71,15405.05,12354.05,5174.68,Yes
Grocery,Mumbai,Female,52,Senior,538.79,16088.65,-9651.54,15075.33,Yes
Grocery,Indore,,44,Middle Age,15847.88,,2653.9,13651.6,Yes
Grocery,Hyderabad,Female,15,Teen,5702.99,16445.56,15569.78,5392.04,No
Merchandise,Pune,Female,63,Senior,,7544.47,13242.73,14370.76,Yes
Merchandise,Kolkata,Male,39,Middle Age,5380.65,3338.44,13159.18,6048.99,Yes
Grocery,Mumbai,Male,20,Young Adult,5618.67,20891.71,18921.23,2943.06,No
Merchandise,Pune,Male,45,Middle Age,13847.93,9411.89,16549.23,6294.51,No
Grocery,Indore,Female,22,Young Adult,9263.09,11953.58,17581.15,6829.85,Yes
Grocery,Delhi,Male,20,Young Adult,16888.22,898.87,8271.03,4453.77,No
Grocery,Kolkata,Female,18,Young Adult,15343.79,13006.46,11707.4,12341.94,No
Merchandise,Hyderabad,Male,150,Senior,17069.72,,21776.46,2923.57,No
Grocery,Bangalore,Female,59,Senior,7609.13,7919.18,-4427.11,13834.61,Yes
Merchandise,Hyderabad,Female,60,Senior,16834.8,8964.99,5005.95,,Yes
Merchandise,Chennai,Male,40,Middle Age,8665.96,10419.33,4130.59,16243.1,No
Grocery,Mumbai,Male,54,Senior,4175.16,19061.37,15875.99,4967.17,Yes
Grocery,Jaipur,Female,45,Middle Age,17443.21,5632.37,15419.96,3654.78,No
Merchandise,Pune,Female,44,Middle Age,9276.04,12792.45,13177.03,12977.67,No
Grocery,Jaipur,Female,52,Senior,6118.24,19274.03,19713.91,10173.23,Yes
Merchandise,Mumbai,Male,54,Senior,11149.57,11812.49,9986.61,14975.2,No
Merchandise,Mumbai,Male,56,Senior,8835.53,19694.97,-17863.26,6157.25,No
Grocery,Kolkata,Male,60,Senior,1711.1,21887.12,9726.8,,No
Grocery,Indore,Female,62,Senior,11059.37,3209.88,18541.65,4859.81,No
Merchandise,Pune,Female,40,Middle Age,,8934.59,9531.75,14593.9,No
Merchandise,Lucknow,Male,21,Young Adult,17910.4,2893.71,17215.68,10573.16,No
Merchandise,Chennai,Female,27,Adult,8321.99,8175.85,11522.89,7591.49,No
Merchandise,Pune,Female,63,Senior,12606.24,21900.4,10804.91,593.78,No
Merchandise,Hyderabad,Male,22,Young Adult,10953.45,16734.26,1286.78,9037.46,No
Merchandise,Bangalore,Male,-1,Teen,16106.69,18412.72,3295.86,8078.78,No
,Mumbai,Male,38,Middle Age,,22497.27,16879.22,15316.93,No
Merchandise,Mumbai,Female,28,Adult,16342.25,3860.89,902.05,6233.36,No
Merchandise,Mumbai,Female,23,Young Adult,4680.63,3658.1,20430.45,12826.4,Yes
Grocery,Mumbai,Male,16,Teen,19531.09,14193.1,12241.75,13769.62,No
Grocery,Kolkata,Female,18,,18349.32,17776.43,18090.75,5198.64,No
Merchandise,Delhi,Male,64,Senior,12624.14,15176.23,17972.62,8581.43,No
Grocery,Hyderabad,Female,58,Senior,14242.6,18111.67,-16779.98,1448.6,No
Merchandise,Lucknow,Female,16,Teen,18909.0,,5781.93,7209.5,No
Grocery,Lucknow,Male,58,Senior,15078.93,7287.63,16636.63,1164.11,No
Grocery,Pune,Male,44,Middle Age,1360.2,8729.16,7069.22,1473.97,No
Merchandise,,Male,30,Adult,10341.01,-22080.45,7551.08,990.05,No
Grocery,Jaipur,Female,-1,Teen,3861.29,23641.44,2329.67,1984.51,No
Grocery,Lucknow,Male,35,Adult,3713.7,4493.72,15013.18,14603.95,Yes
Merchandise,Mumbai,Male,20,Young Adult,7300.95,13753.25,10215.61,-11305.85,No
Grocery,Bangalore,Male,45,Middle Age,9284.43,3016.8,12715.38,2277.23,Yes
Grocery,Indore,Female,59,Senior,5724.32,15478.64,1581.47,16388.41,Yes
Merchandise,Pune,Female,49,Middle Age,,13809.17,9182.82,12941.13,Yes
Grocery,Chennai,Male,39,Middle Age,7567.96,23682.65,6363.44,6550.56,No
Merchandise,Bangalore,Female,26,Adult,15439.49,1439.11,4817.05,8227.5,Yes
Merchandise,Mumbai,Male,29,Adult,6675.22,,15487.49,3207.43,No
Grocery,Bangalore,Female,-1,Teen,1366.11,16635.13,17510.5,12990.29,Yes
Merchandise,Bangalore,Male,46,Middle Age,9468.19,22258.81,14417.61,9228.63,No
Grocery,Hyderabad,Male,45,Middle Age,,5186.37,20933.35,4133.04,Yes
Merchandise,,Male,40,Middle Age,8572.3,4829.61,17850.61,5474.15,No
Merchandise,Indore,Female,29,Adult,4001.59,23224.89,990.66,14553.99,Yes
Grocery,Jaipur,Female,35,Adult,19222.85,7921.71,14638.49,9994.9,Yes
Merchandise,Bangalore,Male,55,Senior,10054.53,7085.13,,2195.22,No
Merchandise,Indore,Male,53,Senior,1574.98,4742.03,14173.31,4861.78,No
Grocery,Kolkata,Female,16,Teen,16652.48,10548.72,19984.94,10268.75,Yes
Grocery,Hyderabad,Female,61,Senior,19463.09,1152.31,21602.19,14536.6,No
Grocery,Mumbai,Female,25,Young Adult,12397.35,11859.14,19596.24,-7058.54,No
Merchandise,Hyderabad,Male,39,Middle Age,13673.48,18251.77,18937.86,,No
Merchandise,Hyderabad,Female,54,Senior,,7184.42,14843.81,16483.5,No
Merchandise,Bangalore,Male,37,Middle Age,-12509.84,4104.86,14396.23,-8337.62,Yes
Merchandise,Kolkata,Male,40,Middle Age,12212.75,-1884.69,19830.05,784.97,Yes
Grocery,Pune,Female,15,Teen,9641.45,15825.17,18659.77,11485.09,No
Merchandise,Lucknow,Male,63,Senior,19788.49,6886.88,3241.13,8276.82,No
Merchandise,Pune,Male,57,Senior,16336.06,22694.18,21980.68,6237.6,Yes
Merchandise,Bangalore,Male,64,Senior,12019.16,3745.63,9816.24,2715.02,Yes
Grocery,Jaipur,Female,39,Middle Age,15865.43,-3223.77,12442.92,-9587.45,Yes
Grocery,Jaipur,Male,50,Middle Age,2013.71,19390.92,10923.87,4014.31,No
Merchandise,Hyderabad,Male,34,Adult,1956.0,18217.84,2649.0,6043.71,No
Merchandise,Mumbai,Male,59,Senior,,7646.46,4913.39,6035.41,Yes
Merchandise,Mumbai,Female,43,Middle Age,9772.11,4010.8,,16490.7,Yes
Merchandise,Kolkata,Male,38,Middle Age,18944.86,13853.24,14362.97,12538.71,Yes
Merchandise,Lucknow,Female,26,Adult,6895.28,12287.57,4706.72,10447.37,Yes
Merchandise,Indore,Male,150,Senior,14549.51,10196.25,10448.74,16989.43,No
Grocery,Pune,Male,51,Senior,15011.82,6914.0,16584.17,4547.41,Yes
Merchandise,Kolkata,Female,31,Adult,10751.31,11164.76,18205.74,17021.66,Yes
Grocery,Jaipur,Female,48,Middle Age,5298.84,16963.75,17569.01,3747.33,No
Grocery,Mumbai,Female,34,,14678.59,12188.48,9663.06,17146.21,Yes
Merchandise,Hyderabad,Male,58,Senior,13584.39,,12448.68,14697.18,Yes
Merchandise,Bangalore,Female,49,Middle Age,,24301.66,6085.6,5563.25,Yes
Merchandise,Hyderabad,Female,27,Adult,8413.04,20297.05,19947.77,6030.69,Yes
Grocery,Lucknow,Male,18,Young Adult,7470.15,18335.87,11131.25,2219.97,Yes
Grocery,Bangalore,Female,18,Young Adult,1403.17,23751.25,2084.46,,Yes
Merchandise,Chennai,Male,51,Senior,4695.54,15537.67,8116.74,13968.46,Yes
Grocery,Lucknow,Male,52,Senior,16995.3,,9304.4,16385.36,Yes
Grocery,Bangalore,Male,15,Teen,10620.97,14897.85,18292.17,4604.9,No
Grocery,Bangalore,Female,52,,7230.86,14452.57,17479.83,16198.48,Yes
Merchandise,Lucknow,Male,22,Young Adult,10836.25,17840.75,21227.73,6122.56,Yes
Merchandise,Jaipur,,27,Adult,8266.9,13042.94,17663.63,16060.45,No
Merchandise,Hyderabad,Female,33,Adult,12619.85,2507.04,4637.98,4820.88,No
Merchandise,Delhi,Male,25,Young Adult,18318.63,18361.28,17277.11,9951.23,Yes
Merchandise,Chennai,Female,150,Senior,19424.2,2323.81,16581.62,8744.99,Yes
Merchandise,Chennai,Female,49,Middle Age,4490.04,23930.86,3437.33,15442.18,No
Grocery,Lucknow,Female,42,Middle Age,19994.91,1802.29,5654.3,8797.97,Yes
Merchandise,Bangalore,Male,38,Middle Age,10086.65,24818.78,20433.15,953.94,No
Grocery,Chennai,Male,30,Adult,18000.37,18690.91,15757.13,9885.12,No
Merchandise,Indore,Female,20,Young Adult,9695.88,2085.86,10714.68,9210.72,No
Merchandise,Indore,Male,46,Middle Age,5048.14,21013.31,15698.9,16256.01,Yes
Merchandise,Bangalore,Female,55,Senior,8885.98,23966.33,11928.81,9247.95,Yes
Merchandise,Pune,Female,43,Middle Age,19681.66,14973.32,17087.84,16828.96,Yes
Merchandise,Jaipur,Male,42,Middle Age,5804.0,14458.87,16326.99,13156.14,Yes
Grocery,Pune,Female,48,,1491.79,23015.65,-2802.94,1166.54,No
Grocery,Indore,Male,28,Adult,2534.33,1553.09,,2520.57,Yes
Merchandise,Bangalore,Male,15,Teen,17887.94,23776.34,19583.35,10245.02,Yes
Merchandise,Pune,Male,-1,Teen,19578.12,14877.54,2679.89,1307.46,No
Grocery,Delhi,Female,40,Middle Age,5435.61,4034.56,18528.34,17043.09,No
Merchandise,,Male,43,Middle Age,2110.29,19256.04,8655.71,11576.34,No
Merchandise,Lucknow,,25,Young Adult,12073.81,3266.55,7448.95,9425.8,Yes
Merchandise,Mumbai,Male,45,Middle Age,16369.66,23681.3,604.57,14272.46,Yes
Merchandise,Jaipur,Female,21,Young Adult,3979.8,6020.13,5773.43,-17789.14,Yes
Grocery,Pune,Male,51,Senior,1070.86,10645.47,13449.38,15380.53,Yes
Merchandise,Hyderabad,Male,52,Senior,4768.73,24381.25,11569.85,16016.32,Yes
Merchandise,Kolkata,Female,24,Young Adult,16585.22,6929.91,18861.38,1558.32,No
Grocery,Kolkata,Male,54,Senior,14800.5,13074.5,4325.61,12758.18,No
Grocery,Lucknow,Female,19,Young Adult,2474.74,16758.12,21268.43,2836.83,No
Merchandise,Hyderabad,Female,20,Young Adult,11863.55,-22479.57,19488.14,,Yes
Grocery,Jaipur,Male,19,,18633.96,21954.54,,4278.27,No
Merchandise,Jaipur,Male,24,Young Adult,13122.87,19378.23,10440.44,12265.27,Yes
Grocery,Bangalore,Male,30,Adult,5877.61,18851.83,18638.82,6567.0,No
Grocery,Delhi,Female,40,Middle Age,,14337.27,12844.81,15830.05,No
Merchandise,Delhi,Male,51,Senior,4572.84,2716.93,15918.58,516.44,Yes
Merchandise,Chennai,Male,38,Middle Age,15000.29,6755.25,7261.37,14047.8,Yes
Merchandise,Jaipur,Female,-1,Teen,,22439.28,2813.56,868.91,No
Merchandise,Chennai,Male,150,Senior,7268.81,20999.73,13499.68,12930.96,Yes
Merchandise,Indore,Female,25,Young Adult,6947.96,5345.46,18305.67,17092.01,Yes
Merchandise,Bangalore,Female,27,Adult,18410.85,3918.04,16386.96,10407.5,Yes
Merchandise,Chennai,Female,46,Middle Age,14639.59,16583.12,5745.57,10857.52,No
Merchandise,Mumbai,Male,17,Teen,16991.94,2261.57,2939.15,14207.12,No
Merchandise,Indore,Male,36,Middle Age,6022.45,3190.41,803.21,13801.0,No
Merchandise,Lucknow,Female,45,Middle Age,11937.99,16496.95,17187.22,1296.86,No
Merchandise,Mumbai,Female,61,Senior,5010.92,16584.92,1828.99,16827.32,Yes
Grocery,Kolkata,Female,20,Young Adult,11720.08,17265.24,7641.29,12282.26,Yes
Grocery,Kolkata,Male,18,Young Adult,19981.35,4142.02,13245.57,8940.29,No
Merchandise,Chennai,Female,30,Adult,5220.49,12256.81,8513.25,5834.69,Yes
Merchandise,Kolkata,Female,-1,Teen,13722.87,5310.72,6277.93,6723.2,No
Grocery,,Male,17,Teen,14315.18,1274.61,,11417.1,No
Merchandise,Mumbai,Male,53,Senior,12081.23,18779.22,2501.7,10645.47,No
Merchandise,Lucknow,Female,40,Middle Age,,4524.91,12608.6,15214.96,Yes
Merchandise,Kolkata,Male,18,Young Adult,2934.52,5571.32,18721.8,17161.26,Yes
Merchandise,Hyderabad,Female,16,Teen,11451.95,1081.72,1273.55,12848.48,Yes
Merchandise,Hyderabad,Female,45,Middle Age,1748.41,22025.83,15481.34,12983.0,Yes
Grocery,Mumbai,Male,26,Adult,5202.8,2227.47,1886.08,5423.93,Yes
Merchandise,Mumbai,Female,39,Middle Age,11679.6,9220.45,18394.25,,Yes
Merchandise,Mumbai,Male,64,Senior,9760.11,-11271.67,21486.17,14991.27,No
Grocery,Hyderabad,Female,31,Adult,12509.66,,5588.25,7968.15,No
Merchandise,Delhi,Male,48,Middle Age,939.15,23387.5,11773.44,4656.69,Yes
Grocery,Mumbai,Female,28,Adult,18075.87,3026.7,,2194.3,No
Merchandise,Indore,Female,42,Middle Age,19293.14,16969.92,19706.16,9184.07,No
Grocery,Delhi,Female,44,Middle Age,7481.18,6426.75,-14674.8,14660.76,Yes
Merchandise,Hyderabad,Male,22,Young Adult,17480.24,,-15107.07,5845.14,No
Grocery,Chennai,Female,50,Middle Age,13277.52,7333.96,15796.2,13752.99,Yes
Merchandise,Hyderabad,Female,41,Middle Age,17692.12,-18004.35,2552.97,8748.73,No
Merchandise,Bangalore,Male,53,Senior,6867.01,7784.17,1104.09,11484.6,No
Grocery,Bangalore,Male,16,Teen,18342.29,873.73,20437.36,16682.27,No
Grocery,Kolkata,Male,25,Young Adult,10736.0,1083.21,7661.29,14189.6,Yes
Merchandise,Indore,Male,49,Middle Age,14797.08,10742.5,12901.51,3911.44,No
Merchandise,Kolkata,Female,36,Middle Age,,11261.55,,14199.97,No
Merchandise,Bangalore,Male,25,Young Adult,19638.2,10199.99,8682.74,15960.46,No
Merchandise,Hyderabad,Female,33,Adult,8526.59,4939.46,6333.46,5485.64,No
Merchandise,Indore,Male,64,Senior,,21675.92,-16923.91,,No
Merchandise,Bangalore,Male,26,Adult,10079.7,3358.81,5193.22,4981.67,No
Grocery,Chennai,Female,57,Senior,16271.22,3150.95,,5330.63,No
Grocery,Kolkata,Male,19,Young Adult,14804.71,11528.24,10036.25,5165.21,No
Grocery,Chennai,Female,33,Adult,8980.65,11615.76,11390.29,1710.19,Yes
